codigo,descripcion,CodigoBarras
6905,SAURUS SELECT PATAGONIA SAUVIGNON BLANC 750 ML.,7798116190052
6906,SAURUS SELECT PATAGONIA PINOT NOIR 750 ML.,7798116190038
6907,SAURUS FERMENTADO EN BARRICA PINOT NOIR 750 ML.,7798116191059
6908,SAURUS FERMENTADO EN BARRICA MALBEC 750 ML.,7798116191042
700,ESCUDO ROJO 750ML - BPR,7804462000089
704,CARMENERE RESERVA 750ML - BPR,7804462000003
705,MAPU CABERNET SAUVIGNON RESERVA 750ML - BPR,7804462000515
706,MAPU CHARDONNAY RESERVA 750ML - BPR,7804462000522
707,MAPU SAUVIGNON BLANC RESERVA 750ML - BPR,7804462000713
708,MAPU MERLOT RESERVA 750ML - BPR,7804462000508
7302,VINO TINTO VARIETAL TINTO MALBEC EL PORVENIR LABORUM DE PARCELA 750ML,7798097232772
7303,VINO TINTO VARIETAL TINTO MALBEC EL PORVENIR NUEVOS SUELOS 750ML,7798097233755
7900,ALTAS CUMBRES VINO TINTO 750 ML,8437005458604
7901,ALTAS CUMBRES VINO BLANCO 750 ML.,8437005458611
7902,ALTAS CUMBRES VINO ROSADO 750 ML.,8437005458628
800,SANTA JULIA MALBEC RESERVA 750 ML.,7791728000566
8001,RESERVA SAUVIGNON BLANC CARMENERE 750 ML OVEJA NEGRA,7804600772236
8002,RESERVA CHARDONNAY VIOGNER 750 ML OVEJA NEGRA,7804600770188
8003,RESERVA CABERNET SAUVIGNON SYRAH 750 ML OVEJA NEGRA,7804600770171
8004,RESERVA CABERNET FRANC CARMENERE 750 ML OVEJA NEGRA,7804600771338
8005,RESERVA SYRAH CARIGNAN ROSE 750 ML OVEJA NEGRA,7804600774551
8006,RESERVA MALBEC PETIT VERDOT 750 ML OVEJA NEGRA,7804600774896
8007,SINGLE VINEYARD CABERNET SAUVIGNON 750 ML. OVEJA NEGRA,7804600773905
8008,SINGLE VINEYARD CARMENERE 750 ML. OVEJA NEGRA,7804600772861
8009,LOST BARREL 750 ML. OVEJA NEGRA,7804600772885
800E,LEOPOLDO MALBEC RESERVA BY ZUCCARDI 750 ML.,7791728243536
801,SANTA JULIA CABERNET SAUVIGNON RESERVA 750 ML.,7791728000535
8010,GRAN RESERVA CARMENERE 750 ML OVEJA NEGRA,7804600778917
8011,GRAN RESERVA CABERNET FRANC CARMENERE 750 ML OVEJA NEGRA,7804600778924
8012,GRAN RESERVA CABERNET SAUVIGNON 750 ML OVEJA NEGRA,7804600778931
801E,SANTA JULIA LA VAQUITA CLARETE NATURAL 750 ML.,7791728245165
802,FUZION CHENIN CHARDONNAY 750 ML.,7791728017366
803,FUZION SYRAH MALBEC 750ML.,7791728018134
803E,JOSE ZUCCARDI MALBEC 1500 ML.,7791728242461
804,ZUCCARDI Q MALBEC 750 ML.,7791728001075
805,SANTA JULIA TARDIO 500 ML.,7791728001686
805E,EPICO CHENIN CHARDONNAY 750ML,7791728245295
806,ZUCCARDI Q TEMPRANILLO 750 ML.,7791728000962
807,ZETA  750ML - ZUCCARDI,7791728018882
808,ZUCCARDI MALAMADO MALBEC VINO FORTIFICADO 750 ML.,7791728002478
808E,SANTA JULIA LA OVEJA TORRONTES NATURAL 750 ML.,7791728240177
809,SANTA JULIA MALBEC 750 ML.,7791728000160
809E,SANTA JULIA EL BURRO MALBEC NATURAL 750 ML.,7791728237290
810,SANTA JULIA VIOGNIER 750 ML.,7791728000320
810E,SANTA JULIA TOMATES VERDES TORRONTES 750 ML.,7791728243628
811,SANTA JULIA MALBEC 375 ML.,7791728001846
